HHSIZECB,DSMKHHRB,LNDLORDB,DWLSTRBC,NUMRMSBC,ARIABC,NUMKHHEC,HHADULEC,STHHTYC,TENUREC,INCDECE,WHROR01,WHROR02,WHROR03,WHROR04,WHROR05,WHROR06,WHROR07,WHROR08,WHROR09,WHROR10,WHROR11,WHROR12,WHROR13,WHROR14,WHROR15,WHROR16,WHROR17,WHROR18,WHROR19,WHROR20,WHROR21,WHROR22,WHROR23,WHROR24,WHROR25,WHROR26,WHROR27,WHROR28,WHROR29,WHROR30,WHROR31,WHROR32,WHROR33,WHROR34,WHROR35,WHROR36,WHROR37,WHROR38,WHROR39,WHROR40,WHROR41,WHROR42,WHROR43,WHROR44,WHROR45,WHROR46,WHROR47,WHROR48,WHROR49,WHROR50,WHROR51,WHROR52,WHROR53,WHROR54,WHROR55,WHROR56,WHROR57,WHROR58,WHROR59,WHROR60,NHSFHHWT,FINSTRS,SF2SA1DN,SMKHSQ4D,PHONEQ01,LANDWH,LEVEL1,STATE,ABSPID,ABSBID,ABSCID,ABSGID,ABSTID,ABSUID,ABSMID,ABSLID
3,1,0,1,4,3,0,3,1,1,99,1060.358398,1028.869141,1038.90918,1044.119141,1070.992188,1024.799805,1073.847656,1055.387695,1044.90918,1016.968262,1073.163086,1062.615234,1055.786133,1047.013672,1057.818359,1034.301758,1052.845703,1048.484375,1041.791992,1033.588867,1026.885742,1056.276367,1041.59082,1049.820313,1034.743164,1065.788086,1036.384766,1060.02832,1044.398438,1053.923828,1033.168945,1042.230469,1038.90918,1044.119141,1043.173828,1024.799805,1059.717773,1055.387695,1086.706055,1043.730469,1073.163086,1035.014648,1042.250977,1033.589844,1030.694336,1047.734375,1039.171875,1048.484375,1114.138672,1033.588867,1026.885742,1070.174805,1028.237305,0,1008.210938,1065.788086,1049.844727,1060.02832,1044.398438,1040.237305,1029.929553,1,6,5,1,1,1,2,0,0,0,0,0,0,0,NHS11B0000001
2,0,1,1,3,1,0,2,1,3,9,613.0644531,617.5361328,616.6201172,620.7299805,618.652832,617.9326172,622.625,625.5961914,616.6918945,621.3071289,618.8339844,624.4267578,616.527832,640.7285156,621.7963867,621.5869141,615.1660156,608.309082,621.8012695,625.7607422,625.6987305,613.4580078,617.9038086,619.0244141,620.5356445,620.6850586,622.0068359,620.2719727,617.2319336,621.1010742,611.3754883,638.7695313,618.3330078,622.46875,622.0996094,619.644043,619.1850586,630.8535156,628.8178711,628.2880859,617.1245117,619.2231445,618.2407227,626.3706055,623.5332031,623.3183594,618.5834961,613.3505859,621.8012695,0,617.1040039,608.3876953,617.9038086,610.5214844,610.3071289,610.4257813,625.4916992,613.4370117,617.2319336,614.2568359,609.5200157,1,8,0,2,3,1,3,0,0,0,0,0,0,0,NHS11B0000002
4,0,1,2,3,1,2,2,1,3,4,879.7685547,852.8110352,858.8652344,852.2626953,854.0600586,857.4277344,851.5581055,845.3266602,0,852.1040039,860.3764648,859.5253906,846.5668945,852.2626953,846.6289063,839.9589844,859.6801758,848.1811523,860.5756836,849.0458984,853.0493164,841.9824219,849.6181641,845.4863281,838.8178711,855.3696289,858.8256836,859.3950195,849.465332,846.9697266,851.125,856.8149414,854.8330078,840.3706055,854.0600586,857.4277344,843.6362305,869.5947266,845.8901367,844.2143555,840.4604492,851.4926758,858.5463867,844.3344727,858.609375,863.9580078,855.6630859,848.1811523,848.5117188,853.0322266,837.324707,838.0844727,841.7509766,849.4555664,862.7841797,863.515625,858.8256836,855.3793945,853.4536133,835.206543,837.4942741,1,3,0,1,2,1,1,0,0,0,0,0,0,0,NHS11B0000003
2,0,0,1,4,1,0,2,1,2,9,613.0644531,617.5361328,616.6201172,620.7299805,618.652832,617.9326172,622.625,625.5961914,616.6918945,621.3071289,618.8339844,624.4267578,616.527832,640.7285156,621.7963867,621.5869141,615.1660156,608.309082,621.8012695,625.7607422,625.6987305,613.4580078,617.9038086,619.0244141,620.5356445,620.6850586,622.0068359,620.2719727,617.2319336,621.1010742,611.3754883,638.7695313,618.3330078,622.46875,622.0996094,619.644043,619.1850586,630.8535156,628.8178711,0,617.1245117,619.2231445,618.2407227,626.3706055,623.5332031,623.3183594,618.5834961,613.3505859,621.8012695,624.0224609,617.1040039,608.3876953,617.9038086,610.5214844,610.3071289,610.4257813,625.4916992,613.4370117,617.2319336,614.2568359,609.5200157,1,7,0,2,3,1,3,0,0,0,0,0,0,0,NHS11B0000004
1,0,0,1,2,1,0,1,4,2,10,408.5849609,407.5708008,405.4111328,405.5622559,407.5688477,403.1569824,408.4067383,407.9345703,411.0644531,414.7744141,404.1582031,0,408.5664063,398.1274414,412.1601563,407.5300293,410.2092285,400.0446777,409.9221191,404.2111816,406.6657715,410.2399902,410.3288574,410.9338379,405.6245117,409.6894531,408.4572754,409.484375,407.4533691,412.3076172,405.489502,403.4643555,409.5480957,411.8017578,410.7038574,404.1777344,411.5085449,404.8442383,405.9001465,407.442627,405.1813965,406.8728027,413.7910156,405.21875,406.9428711,410.6330566,410.2092285,397.0292969,410.9680176,406.2629395,407.703125,405.0732422,412.4013672,406.793457,404.6027832,406.5541992,406.3891602,409.484375,405.4111328,409.1520996,400.7609363,1,9,0,1,1,1,5,0,0,0,0,0,0,0,NHS11B0000005
5,0,2,1,3,1,4,1,1,3,2,69.9630127,69.09082031,68.73773193,68.58074951,70.98712158,70.27075195,69.8706665,69.33947754,70.99127197,70.33081055,69.40576172,69.17352295,69.33551025,70.81072998,69.16339111,68.70727539,68.69616699,70.2668457,70.48596191,71.83026123,70.33764648,72.19024658,70.59576416,69.65686035,69.44195557,69.78503418,68.82165527,70.93200684,70.30145264,69.12548828,69.9630127,70.05712891,69.69238281,69.05377197,68.55603027,68.8168335,68.43493652,70.81481934,70.49133301,70.33081055,69.40576172,70.14099121,69.8170166,69.33551025,0,68.70727539,69.16998291,69.29089355,68.55480957,69.35339355,68.88238525,70.6651001,69.61523438,68.2255249,69.92755127,69.30041504,69.78424072,68.97528076,70.30145264,71.08648682,68.55612772,2,4,0,2,3,1,5,0,0,0,0,0,0,0,NHS11B0000006
3,0,0,1,4,1,0,3,1,2,9,129.4545898,124.1586304,122.9005127,124.8782349,125.3069458,125.8092041,125.0072021,125.3743286,125.4556274,125.5142212,125.003479,124.3892212,125.7749023,128.9436035,124.4370117,126.6126099,123.2625732,127.4795532,124.3552246,124.1224976,125.2287598,126.4352417,125.7607422,124.6222534,124.9918823,124.1262207,123.4608154,125.671936,125.8216553,125.8843384,126.7435913,125.4586792,122.9005127,124.237854,125.9630127,123.8535767,0,126.0272827,123.5255127,126.1713867,126.9876709,125.0371094,126.4334106,124.9141235,123.7922363,125.2937622,123.9012451,126.1376343,124.3552246,124.1224976,125.2287598,127.1077881,127.0845337,126.5899658,123.0689087,124.1262207,125.3898926,125.671936,125.8216553,125.2286987,123.2248835,1,10,0,1,2,1,8,0,0,0,0,0,0,0,NHS11B0000007
1,0,0,1,3,2,0,1,4,1,99,133.1173096,132.7872314,132.2193604,132.5823975,132.6008301,133.6933594,127.3908081,133.663208,134.3536377,131.3409424,133.0537109,131.0112305,134.3427734,130.8735352,132.2687988,134.0401611,131.4338379,130.9290771,134.2877197,135.3796387,135.6038818,131.7956543,130.6538086,131.6068115,131.1501465,129.0605469,130.9584961,129.6654053,132.8602295,133.5130615,133.8527832,132.0655518,130.0753174,131.1490479,130.4505615,130.8027344,129.4677734,130.7731934,129.2972412,135.7435303,132.3305664,131.0112305,133.6165771,133.019043,131.553833,0,133.6003418,133.7908936,135.0214844,131.0125732,130.527832,132.5119629,131.3638916,132.3259277,133.2884521,131.8815918,130.2545166,131.0671387,135.050293,131.3479004,129.9690385,1,5,0,1,1,1,6,0,0,0,0,0,0,0,NHS11B0000008
2,0,0,1,4,1,0,2,1,1,99,747.1069336,757.3022461,755.7509766,756.2270508,753.9589844,749.6728516,759.6767578,758.8076172,759.2573242,755.4902344,752.7514648,745.7602539,759.480957,745.5537109,741.7739258,753.206543,745.1323242,751.324707,752.300293,745.9013672,739.3999023,753.7924805,746.4248047,743.0800781,748.7666016,745.3115234,753.2636719,739.3881836,755.2797852,746.1655273,745.5307617,749.3305664,752.5625,745.1293945,746.0722656,744.9677734,756.4580078,752.4174805,752.8232422,752.3022461,754.3530273,750.4804688,749.8671875,747.1230469,751.1435547,748.449707,766.0087891,759.3007813,0,760.1845703,750.3188477,758.6040039,757.5180664,762.1743164,755.1123047,756.3647461,746.9472656,744.0283203,745.7792969,738.3925781,738.5733894,1,5,0,1,1,1,3,0,0,0,0,0,0,0,NHS11B0000009
3,1,0,1,3,1,2,1,1,1,2,399.9736328,402.1879883,407.9904785,410.5495605,401.4824219,403.3859863,408.5778809,418.3620605,409.3581543,405.8862305,406.4770508,417.3427734,419.7197266,409.2543945,412.2939453,401.994873,407.6335449,405.369873,405.9626465,403.2402344,0,419.0473633,403.8481445,403.7973633,404.2731934,405.5610352,405.1789551,411.5231934,408.144043,404.0336914,403.4516602,405.6853027,404.4733887,400.0224609,404.9733887,417.6652832,415.7458496,411.0861816,402.3605957,424.1691895,403.0026855,403.074707,416.0700684,405.6645508,412.2939453,412.5737305,404.1193848,408.9257813,405.9626465,403.2402344,404.7236328,404.7209473,407.3598633,403.7973633,404.2731934,409.1186523,415.935791,415.1330566,404.6254883,422.2333984,401.5072967,1,4,5,1,1,1,5,0,0,0,0,0,0,0,NHS11B0000010
