ABSGID,ABSCID,ABSUID,ABSBID,ABSSID,ABSFID,ABSTID,ABSKID,ABSEID,ABSDID,DAYWPED,PEDSTEP8,WKNDFLAG,DAYORPED,MET10DY,METT1DY,PEDTIME,PEDOFFDY,PEDOFFDM,LEVEL9,ABSHID,ABSLFID
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1002667,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1002455,0
3,0,0,0,0,0,0,0,1,0,9,99998,4,9,0,4,9998,4,9998,9,INP13B1002455,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002898,0
3,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002898,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000875,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000875,0
1,0,0,0,0,0,0,0,1,0,4,4556,1,1,2,0,855,1,15,9,INP13B1001747,0
1,0,0,0,0,0,0,0,2,0,5,6712,1,2,2,0,855,1,15,9,INP13B1001747,0
1,0,0,0,0,0,0,0,3,0,6,6523,1,3,2,0,855,1,15,9,INP13B1001747,0
1,0,0,0,0,0,0,0,4,0,7,8210,2,4,2,0,855,1,15,9,INP13B1001747,0
1,0,0,0,0,0,0,0,5,0,1,6238,2,5,2,0,855,1,15,9,INP13B1001747,0
1,0,0,0,0,0,0,0,6,0,2,6982,1,6,2,0,855,1,15,9,INP13B1001747,0
1,0,0,0,0,0,0,0,7,0,3,5710,1,7,2,0,855,1,15,9,INP13B1001747,0
1,0,0,0,0,0,0,0,8,0,4,5203,1,8,2,0,855,1,15,9,INP13B1001747,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002445,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002052,0
1,0,0,0,0,0,0,0,1,0,7,5160,2,1,2,0,666,2,0,9,INP13B1001886,0
1,0,0,0,0,0,0,0,2,0,1,2017,2,2,2,0,573,2,0,9,INP13B1001886,0
1,0,0,0,0,0,0,0,3,0,3,5912,1,3,2,0,9997,3,9997,9,INP13B1001886,0
1,0,0,0,0,0,0,0,4,0,4,946,1,4,2,0,9997,3,9997,9,INP13B1001886,0
1,0,0,0,0,0,0,0,5,0,5,9121,1,5,2,0,905,2,0,9,INP13B1001886,0
1,0,0,0,0,0,0,0,6,0,6,9516,1,6,2,0,1180,2,0,9,INP13B1001886,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000718,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000954,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000290,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001780,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001780,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000772,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000961,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000961,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002266,0
5,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002266,0
2,0,0,0,0,0,0,0,1,0,7,8472,2,1,0,2,690,2,0,9,INP13B1001400,0
2,0,0,0,0,0,0,0,2,0,1,9482,2,2,0,2,660,2,0,9,INP13B1001400,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001038,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001298,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002551,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000386,0
3,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1000386,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001268,0
4,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1001268,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1000205,0
1,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002297,0
2,0,0,0,0,0,0,0,1,0,0,99999,0,0,0,0,9999,0,9999,9,INP13B1002297,0
2,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001251,0
5,0,0,0,0,0,0,0,1,0,9,99998,4,9,0,4,9998,4,9998,9,INP13B1001251,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1001093,0
1,0,0,0,0,0,0,0,1,0,3,6814,1,1,2,0,748,2,0,9,INP13B1000660,0
1,0,0,0,0,0,0,0,2,0,4,1963,1,2,2,0,903,2,0,9,INP13B1000660,0
1,0,0,0,0,0,0,0,3,0,5,2470,1,3,2,0,935,2,0,9,INP13B1000660,0
1,0,0,0,0,0,0,0,4,0,6,5762,1,4,2,0,703,2,0,9,INP13B1000660,0
1,0,0,0,0,0,0,0,5,0,7,16572,2,5,1,0,934,2,0,9,INP13B1000660,0
1,0,0,0,0,0,0,0,6,0,1,633,2,6,2,0,694,2,0,9,INP13B1000660,0
1,0,0,0,0,0,0,0,7,0,2,6278,1,7,2,0,938,2,0,9,INP13B1000660,0
1,0,0,0,0,0,0,0,8,0,3,2510,1,8,2,0,765,2,0,9,INP13B1000660,0
6,0,0,0,0,0,0,0,1,0,9,99998,4,9,0,4,9998,4,9998,9,INP13B1000660,0
1,0,0,0,0,0,0,0,1,0,9,99998,4,9,4,0,9998,4,9998,9,INP13B1000484,0
1,0,0,0,0,0,0,0,1,0,6,3186,1,1,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,2,0,7,2135,2,2,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,3,0,1,2742,2,3,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,4,0,2,5154,1,4,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,5,0,4,2848,1,5,2,0,600,2,0,9,INP13B1002748,0
1,0,0,0,0,0,0,0,6,0,5,5211,1,6,2,0,600,2,0,9,INP13B1002748,0
